rq_time,start,end,request_id,earliest_pickup_time,latest_pickup_time
13860,8812,2944,293,13860,17460
15060,1598,2944,2969,15060,18660
15780,11707,2944,2327,15780,19380
17400,10293,2944,2319,17400,21000
17700,12392,2944,1967,17700,21300
17940,11599,2944,2317,17940,21540
18180,7849,2944,2307,18180,21780
18300,11265,2944,287,18300,21900
18660,7098,2944,1,18660,22260
19140,12802,2944,1819,19140,22740
19140,1591,2944,2613,19140,22740
19320,12394,2944,2989,19320,22920
19440,7121,2944,7,19440,23040
19440,9779,2944,191,19440,23040
19680,7843,2944,2305,19680,23280
19920,11423,2944,2027,19920,23520
19980,4629,2944,2625,19980,23580
20160,7385,2944,291,20160,23760
20520,10694,2944,2731,20520,24120
20580,8031,2944,2535,20580,24180
20640,3417,2944,2021,20640,24240
20820,4780,2944,2655,20820,24420
20880,11610,2944,2311,20880,24480
21300,10601,2944,2677,21300,24900
21360,7225,2944,157,21360,24960
21360,7893,2944,2339,21360,24960
21420,10361,2944,2359,21420,25020
21420,11880,2944,2457,21420,25020
21420,4753,2944,2651,21420,25020
21480,8031,2944,2537,21480,25080
21480,10703,2944,2733,21480,25080
21540,2794,2944,185,21540,25140
21540,12206,2944,2987,21540,25140
21660,4571,2944,2551,21660,25260
22020,10328,2944,2331,22020,25620
22080,2366,2944,39,22080,25680
22140,6789,2944,1843,22140,25740
22140,11768,2944,2391,22140,25740
22140,12107,2944,2719,22140,25740
22200,7278,2944,177,22200,25800
22260,12514,2944,2463,22260,25860
22320,9863,2944,281,22320,25920
22320,8076,2944,2557,22320,25920
22380,4085,2944,2167,22380,25980
22380,4085,2944,2179,22380,25980
22680,9786,2944,195,22680,26280
22740,11126,2944,65,22740,26340
22740,5384,2944,2965,22740,26340
22800,6606,2944,2205,22800,26400
22800,5130,2944,3063,22800,26400
22860,3139,2944,1871,22860,26460
22860,5087,2944,3019,22860,26460
22920,5130,2944,3055,22920,26520
22980,4854,2944,2829,22980,26580
23040,6968,2944,1673,23040,26640
23040,4078,2944,2237,23040,26640
23040,4078,2944,2243,23040,26640
23040,8903,2944,2351,23040,26640
23100,10092,2944,1805,23100,26700
23100,10092,2944,1817,23100,26700
23160,4972,2944,2961,23160,26760
23220,8033,2944,2549,23220,26820
23220,6535,2944,2937,23220,26820
23280,7068,2944,3,23280,26880
23280,4189,2944,2059,23280,26880
23280,8031,2944,2533,23280,26880
23400,2494,2944,73,23400,27000
23400,10948,2944,127,23400,27000
23400,9947,2944,1139,23400,27000
23400,9947,2944,1155,23400,27000
23460,10075,2944,1813,23460,27060
23520,10054,2944,699,23520,27120
23520,3013,2944,1381,23520,27120
23520,3013,2944,1411,23520,27120
23520,3031,2944,1563,23520,27120
23520,3031,2944,1565,23520,27120
23520,4780,2944,2659,23520,27120
23580,3022,2944,837,23580,27180
23580,6828,2944,911,23580,27180
23580,6828,2944,917,23580,27180
23580,5712,2944,1097,23580,27180
23580,6422,2944,1699,23580,27180
23640,2950,2944,1607,23640,27240
23700,6606,2944,2207,23700,27300
23760,9872,2944,263,23760,27360
23760,5047,2944,3033,23760,27360
23820,11863,2944,2431,23820,27420
23880,9601,2944,133,23880,27480
23880,11895,2944,2473,23880,27480
23880,4906,2944,2847,23880,27480
23940,9175,2944,1887,23940,27540
23940,3411,2944,2017,23940,27540
24000,3293,2944,1937,24000,27600
24060,2382,2944,33,24060,27660
24060,11861,2944,2479,24060,27660
24120,10232,2944,1981,24120,27720
24180,7310,2944,183,24180,27780
24180,10077,2944,1167,24180,27780
24180,11493,2944,2301,24180,27780
24180,8031,2944,2531,24180,27780
24180,10859,2944,2669,24180,27780
24240,10742,2944,1249,24240,27840
24240,7495,2944,1955,24240,27840
