rq_time,start,end,request_id,earliest_pickup_time,latest_pickup_time
36000,5442,2944,69,36000,39600
63000,2944,2980,1038,63000,66600
33780,9849,2944,229,33780,37380
38100,3105,2944,1821,38100,41700
57600,2944,3019,1498,57600,61200
38460,8048,2944,2543,38460,42060
37620,10232,2944,1991,37620,41220
50100,3028,2944,427,50100,53700
33720,7003,2944,2119,33720,37320
43200,2944,10584,2648,43200,46800
53040,10742,2944,1261,53040,56640
55260,2844,2944,885,55260,58860
50400,2944,9939,792,50400,54000
20160,7385,2944,291,20160,23760
36540,4078,2944,2245,36540,40140
61200,2944,2903,604,61200,64800
47460,4951,2944,2923,47460,51060
48600,2944,3028,432,48600,52200
37800,2944,6465,1644,37800,41400
43320,4780,2944,2657,43320,46920
31200,3007,2944,345,31200,34800
34080,4085,2944,2165,34080,37680
43380,6422,2944,1733,43380,46980
34200,2944,2950,1592,34200,37800
34380,6422,2944,1731,34380,37980
48600,2944,9933,750,48600,52200
62100,2944,5910,2810,62100,65700
34440,9513,2944,141,34440,38040
52260,5937,2944,997,52260,55860
50640,11009,2944,557,50640,54240
50400,2944,3008,516,50400,54000
59400,2944,2848,532,59400,63000
41580,6422,2944,1709,41580,45180
40500,2944,4189,2078,40500,44100
48060,9872,2944,259,48060,51660
48600,2944,3105,1822,48600,52200
39600,2944,3417,2020,39600,43200
61200,2944,10054,704,61200,64800
61200,2944,9947,1154,61200,64800
43200,2944,3031,1568,43200,46800
45900,2944,4858,2872,45900,49500
53100,2944,10105,1052,53100,56700
27720,10528,2944,2575,27720,31320
42300,2944,7459,1906,42300,45900
39780,11593,2944,2309,39780,43380
43200,2944,3014,1370,43200,46800
46080,9638,2944,115,46080,49680
35100,2944,11707,2328,35100,38700
36180,5712,2944,1099,36180,39780
49020,7003,2944,2103,49020,52620
36180,3022,2944,829,36180,39780
32760,2848,2944,771,32760,36360
49500,2944,3013,1384,49500,53100
54000,2944,7118,6,54000,57600
58500,2944,3022,858,58500,62100
34980,12580,2944,2487,34980,38580
26280,5712,2944,1089,26280,29880
59400,2944,10119,452,59400,63000
60300,2944,10066,726,60300,63900
36060,5937,2944,1015,36060,39660
45900,2944,3019,1490,45900,49500
45120,2967,2944,1763,45120,48720
29700,9947,2944,1147,29700,33300
52380,3022,2944,833,52380,55980
51840,11298,2944,319,51840,55440
55800,2944,9175,1898,55800,59400
29940,2950,2944,1579,29940,33540
37080,6828,2944,891,37080,40680
38700,2944,9912,676,38700,42300
25740,10228,2944,1971,25740,29340
26940,9192,2944,2337,26940,30540
62100,2944,5938,950,62100,65700
63000,2944,4854,2832,63000,66600
59400,2944,9872,260,59400,63000
24780,9877,2944,269,24780,28380
27480,10834,2944,337,27480,31080
63900,2944,7003,2100,63900,67500
54000,2944,10742,1274,54000,57600
36900,2944,2980,1028,36900,40500
47700,2944,7460,1912,47700,51300
35100,2944,10232,1982,35100,38700
25560,3236,2944,1833,25560,29160
43200,2944,5712,1086,43200,46800
39600,2944,4895,2956,39600,43200
37860,3171,2944,1861,37860,41460
52440,2950,2944,1609,52440,56040
54480,4175,2944,2261,54480,58080
24840,12051,2944,2685,24840,28440
57600,2944,9495,56,57600,61200
24240,7495,2944,1955,24240,27840
47700,2944,9939,778,47700,51300
62100,2944,3105,1824,62100,65700
45000,2944,10473,2514,45000,48600
22860,5087,2944,3019,22860,26460
33420,10750,2944,1133,33420,37020
23280,7068,2944,3,23280,26880
26760,5938,2944,945,26760,30360
37680,4189,2944,2073,37680,41280
29460,3354,2944,1975,29460,33060
58500,2944,9674,164,58500,62100
46800,2944,4189,2074,46800,50400
46440,3284,2944,1949,46440,50040
22920,5130,2944,3055,22920,26520
28920,3031,2944,1553,28920,32520
26340,2998,2944,977,26340,29940
52020,11880,2944,2461,52020,55620
28620,3007,2944,357,28620,32220
29040,9939,2944,785,29040,32640
27360,6832,2944,519,27360,30960
38880,9638,2944,119,38880,42480
23460,10075,2944,1813,23460,27060
22380,4085,2944,2179,22380,25980
45000,2944,9939,802,45000,48600
34200,2944,3013,1404,34200,37800
44580,4175,2944,2259,44580,48180
54900,2944,12127,2722,54900,58500
59400,2944,3007,352,59400,63000
33300,2944,2980,1050,33300,36900
37440,7264,2944,147,37440,41040
27660,5938,2944,953,27660,31260
38340,4078,2944,2223,38340,41940
34200,2944,10948,128,34200,37800
50400,2944,9939,788,50400,54000
29520,9947,2944,1289,29520,33120
57600,2944,4085,2182,57600,61200
31800,3014,2944,1343,31800,35400
47040,2950,2944,1587,47040,50640
34500,10119,2944,459,34500,38100
45000,2944,2831,328,45000,48600
28320,8008,2944,2497,28320,31920
31440,10584,2944,2647,31440,35040
43200,2944,10584,2646,43200,46800
31680,10047,2944,481,31680,35280
32520,2980,2944,1025,32520,36120
31200,10231,2944,2007,31200,34800
36900,2944,10092,1806,36900,40500
30840,4868,2944,2753,30840,34440
49560,11221,2944,169,49560,53160
46680,4085,2944,2171,46680,50280
57600,2944,3007,344,57600,61200
29040,3015,2944,1483,29040,32640
32400,2944,3013,1382,32400,36000
26700,10907,2944,249,26700,30300
51300,2944,7460,1916,51300,54900
23520,4780,2944,2659,23520,27120
52320,5574,2944,2769,52320,55920
43620,2961,2944,331,43620,47220
34440,4872,2944,2851,34440,38040
25080,11210,2944,67,25080,28680
36000,2944,6422,1718,36000,39600
40500,2944,4868,2754,40500,44100
36900,2944,10750,1112,36900,40500
45900,2944,9811,194,45900,49500
54000,2944,6465,1628,54000,57600
44280,6828,2944,937,44280,47880
48600,2944,6422,1730,48600,52200
50520,3009,2944,1535,50520,54120
25320,3013,2944,1415,25320,28920
44460,10660,2944,2695,44460,48060
49680,5712,2944,1083,49680,53280
40440,10742,2944,1253,40440,44040
61200,2944,10054,708,61200,64800
13860,8812,2944,293,13860,17460
37800,2944,9933,742,37800,41400
47820,10054,2944,679,47820,51420
28020,10750,2944,1111,28020,31620
31080,5910,2944,2811,31080,34680
28380,4854,2944,2835,28380,31980
52440,2998,2944,987,52440,56040
43440,11831,2944,2423,43440,47040
40980,3303,2944,1925,40980,44580
21540,12206,2944,2987,21540,25140
46440,7228,2944,153,46440,50040
47700,2944,10017,1218,47700,51300
19680,7843,2944,2305,19680,23280
24060,2382,2944,33,24060,27660
41400,2944,11219,172,41400,45000
29940,10053,2944,883,29940,33540
40920,11863,2944,2433,40920,44520
38700,2944,6828,896,38700,42300
25320,10066,2944,727,25320,28920
45900,2944,10011,642,45900,49500
27720,4635,2944,2615,27720,31320
39660,6628,2944,2529,39660,43260
26040,3999,2944,2041,26040,29640
54900,2944,4161,2034,54900,58500
36900,5084,2944,3109,36900,40500
41400,2944,3014,1342,41400,45000
