rq_time,start,end,request_id,earliest_pickup_time,latest_pickup_time
23040,7118,2944,1,23040,26640
35100,2944,7118,2,35100,38700
45660,9262,2944,3,45660,49260
57600,2944,9262,4,57600,61200
20640,7065,2944,5,20640,24240
33300,2944,7065,6,33300,36900
20520,7100,2944,7,20520,24120
36900,2944,7100,8,36900,40500
43440,2375,2944,9,43440,47040
50400,2944,2375,10,50400,54000
43440,2375,2944,11,43440,47040
50400,2944,2375,12,50400,54000
43440,2375,2944,13,43440,47040
50400,2944,2375,14,50400,54000
43440,2375,2944,15,43440,47040
50400,2944,2375,16,50400,54000
43440,2375,2944,17,43440,47040
50400,2944,2375,18,50400,54000
48960,2379,2944,19,48960,52560
55800,2944,2379,20,55800,59400
48960,2379,2944,21,48960,52560
55800,2944,2379,22,55800,59400
48960,2379,2944,23,48960,52560
55800,2944,2379,24,55800,59400
48960,2379,2944,25,48960,52560
55800,2944,2379,26,55800,59400
48960,2379,2944,27,48960,52560
55800,2944,2379,28,55800,59400
38400,2382,2944,29,38400,42000
45000,2944,2382,30,45000,48600
38400,2382,2944,31,38400,42000
45000,2944,2382,32,45000,48600
38400,2382,2944,33,38400,42000
45000,2944,2382,34,45000,48600
38400,2382,2944,35,38400,42000
45000,2944,2382,36,45000,48600
38400,2382,2944,37,38400,42000
45000,2944,2382,38,45000,48600
38400,2382,2944,39,38400,42000
45000,2944,2382,40,45000,48600
40020,2366,2944,41,40020,43620
47700,2944,2366,42,47700,51300
40020,2366,2944,43,40020,43620
47700,2944,2366,44,47700,51300
55440,2370,2944,45,55440,59040
63000,2944,2370,46,63000,66600
55440,2370,2944,47,55440,59040
63000,2944,2370,48,63000,66600
55440,2370,2944,49,55440,59040
63000,2944,2370,50,63000,66600
33720,7217,2944,51,33720,37320
47700,2944,7217,52,47700,51300
48240,10862,2944,53,48240,51840
56700,2944,10862,54,56700,60300
42120,9495,2944,55,42120,45720
50400,2944,9495,56,50400,54000
42120,9495,2944,57,42120,45720
50400,2944,9495,58,50400,54000
42120,9495,2944,59,42120,45720
50400,2944,9495,60,50400,54000
42120,9495,2944,61,42120,45720
50400,2944,9495,62,50400,54000
28620,9491,2944,63,28620,32220
37800,2944,9491,64,37800,41400
28620,9491,2944,65,28620,32220
37800,2944,9491,66,37800,41400
32640,11126,2944,67,32640,36240
46800,2944,11126,68,46800,50400
50160,11173,2944,69,50160,53760
63000,2944,11173,70,63000,66600
32760,11211,2944,71,32760,36360
46800,2944,11211,72,46800,50400
42360,2494,2944,73,42360,45960
52200,2944,2494,74,52200,55800
39540,10756,2944,75,39540,43140
45900,2944,10756,76,45900,49500
39540,10756,2944,77,39540,43140
45900,2944,10756,78,45900,49500
39540,10756,2944,79,39540,43140
45900,2944,10756,80,45900,49500
39540,10756,2944,81,39540,43140
45900,2944,10756,82,45900,49500
39540,10756,2944,83,39540,43140
45900,2944,10756,84,45900,49500
36120,9596,2944,85,36120,39720
42300,2944,9596,86,42300,45900
36120,9596,2944,87,36120,39720
42300,2944,9596,88,42300,45900
36120,9596,2944,89,36120,39720
42300,2944,9596,90,42300,45900
36120,9596,2944,91,36120,39720
42300,2944,9596,92,42300,45900
36120,9596,2944,93,36120,39720
42300,2944,9596,94,42300,45900
36120,9596,2944,95,36120,39720
42300,2944,9596,96,42300,45900
36120,9596,2944,97,36120,39720
42300,2944,9596,98,42300,45900
36120,9596,2944,99,36120,39720
42300,2944,9596,100,42300,45900
36120,9596,2944,101,36120,39720
42300,2944,9596,102,42300,45900
36120,9596,2944,103,36120,39720
42300,2944,9596,104,42300,45900
36120,9596,2944,105,36120,39720
42300,2944,9596,106,42300,45900
36120,9596,2944,107,36120,39720
42300,2944,9596,108,42300,45900
30120,9574,2944,109,30120,33720
36900,2944,9574,110,36900,40500
30120,9574,2944,111,30120,33720
36900,2944,9574,112,36900,40500
30120,9574,2944,113,30120,33720
36900,2944,9574,114,36900,40500
30120,9574,2944,115,30120,33720
36900,2944,9574,116,36900,40500
49740,9638,2944,117,49740,53340
56700,2944,9638,118,56700,60300
49740,9638,2944,119,49740,53340
56700,2944,9638,120,56700,60300
49740,9638,2944,121,49740,53340
56700,2944,9638,122,56700,60300
49740,9638,2944,123,49740,53340
56700,2944,9638,124,56700,60300
49500,10948,2944,125,49500,53100
56700,2944,10948,126,56700,60300
49500,10948,2944,127,49500,53100
56700,2944,10948,128,56700,60300
49500,10948,2944,129,49500,53100
56700,2944,10948,130,56700,60300
46380,9601,2944,131,46380,49980
54000,2944,9601,132,54000,57600
46380,9601,2944,133,46380,49980
54000,2944,9601,134,54000,57600
46380,9601,2944,135,46380,49980
54000,2944,9601,136,54000,57600
27000,9586,2944,137,27000,30600
39600,2944,9586,138,39600,43200
31320,9309,2944,139,31320,34920
38700,2944,9309,140,38700,42300
31320,9309,2944,141,31320,34920
38700,2944,9309,142,38700,42300
31320,9309,2944,143,31320,34920
38700,2944,9309,144,38700,42300
45600,7264,2944,145,45600,49200
53100,2944,7264,146,53100,56700
45600,7264,2944,147,45600,49200
53100,2944,7264,148,53100,56700
51840,7228,2944,149,51840,55440
59400,2944,7228,150,59400,63000
47280,7255,2944,151,47280,50880
54900,2944,7255,152,54900,58500
51060,7225,2944,153,51060,54660
59400,2944,7225,154,59400,63000
39120,7262,2944,155,39120,42720
47700,2944,7262,156,47700,51300
39120,7262,2944,157,39120,42720
47700,2944,7262,158,47700,51300
26280,9674,2944,159,26280,29880
36000,2944,9674,160,36000,39600
26280,9674,2944,161,26280,29880
36000,2944,9674,162,36000,39600
41460,11221,2944,163,41460,45060
52200,2944,11221,164,52200,55800
36300,11219,2944,165,36300,39900
49500,2944,11219,166,49500,53100
30420,11234,2944,167,30420,34020
45000,2944,11234,168,45000,48600
28020,2645,2944,169,28020,31620
38700,2944,2645,170,38700,42300
51060,9713,2944,171,51060,54660
62100,2944,9713,172,62100,65700
30000,10701,2944,173,30000,33600
40500,2944,10701,174,40500,44100
35040,9815,2944,175,35040,38640
45900,2944,9815,176,45900,49500
31140,9779,2944,177,31140,34740
42300,2944,9779,178,42300,45900
34680,9789,2944,179,34680,38280
45900,2944,9789,180,45900,49500
42960,9817,2944,181,42960,46560
54900,2944,9817,182,54900,58500
28080,9786,2944,183,28080,31680
40500,2944,9786,184,40500,44100
32340,7365,2944,185,32340,35940
41400,2944,7365,186,41400,45000
51000,7372,2944,187,51000,54600
60300,2944,7372,188,60300,63900
49380,7369,2944,189,49380,52980
59400,2944,7369,190,59400,63000
49380,7369,2944,191,49380,52980
59400,2944,7369,192,59400,63000
39060,7343,2944,193,39060,42660
49500,2944,7343,194,49500,53100
50040,9874,2944,195,50040,53640
56700,2944,9874,196,56700,60300
50040,9874,2944,197,50040,53640
56700,2944,9874,198,56700,60300
50040,9874,2944,199,50040,53640
56700,2944,9874,200,56700,60300
50040,9874,2944,201,50040,53640
56700,2944,9874,202,56700,60300
50040,9874,2944,203,50040,53640
56700,2944,9874,204,56700,60300
50040,9874,2944,205,50040,53640
56700,2944,9874,206,56700,60300
54480,9849,2944,207,54480,58080
61200,2944,9849,208,61200,64800
54480,9849,2944,209,54480,58080
61200,2944,9849,210,61200,64800
54480,9849,2944,211,54480,58080
61200,2944,9849,212,61200,64800
54480,9849,2944,213,54480,58080
61200,2944,9849,214,61200,64800
39180,9849,2944,215,39180,42780
45900,2944,9849,216,45900,49500
39180,9849,2944,217,39180,42780
45900,2944,9849,218,45900,49500
39180,9849,2944,219,39180,42780
45900,2944,9849,220,45900,49500
39180,9849,2944,221,39180,42780
45900,2944,9849,222,45900,49500
25500,10773,2944,223,25500,29100
32400,2944,10773,224,32400,36000
25500,10773,2944,225,25500,29100
32400,2944,10773,226,32400,36000
31980,9864,2944,227,31980,35580
38700,2944,9864,228,38700,42300
31980,9864,2944,229,31980,35580
38700,2944,9864,230,38700,42300
31980,9864,2944,231,31980,35580
38700,2944,9864,232,38700,42300
31980,9864,2944,233,31980,35580
38700,2944,9864,234,38700,42300
41100,10907,2944,235,41100,44700
47700,2944,10907,236,47700,51300
41100,10907,2944,237,41100,44700
47700,2944,10907,238,47700,51300
41100,10907,2944,239,41100,44700
47700,2944,10907,240,47700,51300
41100,10907,2944,241,41100,44700
47700,2944,10907,242,47700,51300
29280,9835,2944,243,29280,32880
36000,2944,9835,244,36000,39600
29280,9835,2944,245,29280,32880
36000,2944,9835,246,36000,39600
29280,9835,2944,247,29280,32880
36000,2944,9835,248,36000,39600
39960,9872,2944,249,39960,43560
47700,2944,9872,250,47700,51300
39960,9872,2944,251,39960,43560
47700,2944,9872,252,47700,51300
39960,9872,2944,253,39960,43560
47700,2944,9872,254,47700,51300
39960,9872,2944,255,39960,43560
47700,2944,9872,256,47700,51300
39960,9872,2944,257,39960,43560
47700,2944,9872,258,47700,51300
47280,9877,2944,259,47280,50880
54000,2944,9877,260,54000,57600
47280,9877,2944,261,47280,50880
54000,2944,9877,262,54000,57600
47280,9877,2944,263,47280,50880
54000,2944,9877,264,54000,57600
47280,9877,2944,265,47280,50880
54000,2944,9877,266,54000,57600
37680,9863,2944,267,37680,41280
44100,2944,9863,268,44100,47700
37680,9863,2944,269,37680,41280
44100,2944,9863,270,44100,47700
37680,9863,2944,271,37680,41280
44100,2944,9863,272,44100,47700
37680,9863,2944,273,37680,41280
44100,2944,9863,274,44100,47700
37680,9863,2944,275,37680,41280
44100,2944,9863,276,44100,47700
37680,9863,2944,277,37680,41280
44100,2944,9863,278,44100,47700
37680,9863,2944,279,37680,41280
44100,2944,9863,280,44100,47700
44580,11267,2944,281,44580,48180
56700,2944,11267,282,56700,60300
41580,11276,2944,283,41580,45180
54000,2944,11276,284,54000,57600
21060,7385,2944,285,21060,24660
34200,2944,7385,286,34200,37800
39540,7413,2944,287,39540,43140
54000,2944,7413,288,54000,57600
47760,9986,2944,289,47760,51360
59400,2944,9986,290,59400,63000
47760,9986,2944,291,47760,51360
59400,2944,9986,292,59400,63000
25500,11289,2944,293,25500,29100
35100,2944,11289,294,35100,38700
44580,9907,2944,295,44580,48180
53100,2944,9907,296,53100,56700
44580,9907,2944,297,44580,48180
53100,2944,9907,298,53100,56700
44580,9907,2944,299,44580,48180
53100,2944,9907,300,53100,56700
44580,9907,2944,301,44580,48180
53100,2944,9907,302,53100,56700
