rq_time,start,end,request_id,earliest_pickup_time,latest_pickup_time
39600,2944,5574,2744,39600,43200
42300,2944,9988,1308,42300,45900
34380,2950,2944,1603,34380,37980
39600,2944,10584,2624,39600,43200
38700,2944,6133,2032,38700,42300
18060,10164,2944,1953,18060,21660
29280,8405,2944,2721,29280,32880
39540,7365,2944,185,39540,43140
63000,2944,3435,2012,63000,66600
51840,9874,2944,195,51840,55440
25680,3303,2944,1919,25680,29280
59400,2944,10838,1196,59400,63000
63000,2944,3013,1408,63000,66600
42780,11298,2944,315,42780,46380
51420,9596,2944,103,51420,55020
52080,4917,2944,2833,52080,55680
38700,2944,12174,2962,38700,42300
36000,2944,10085,1222,36000,39600
62100,2944,6323,1776,62100,65700
47700,2944,10054,706,47700,51300
42840,4078,2944,2237,42840,46440
36480,4175,2944,2251,36480,40080
34320,3009,2944,1519,34320,37920
28980,5118,2944,2979,28980,32580
50040,4078,2944,2235,50040,53640
52680,9789,2944,179,52680,56280
53220,5193,2944,2033,53220,56820
44100,2944,10584,2628,44100,47700
47700,2944,2877,612,47700,51300
40500,2944,10054,680,40500,44100
33960,7225,2944,153,33960,37560
38400,12392,2944,1961,38400,42000
58500,2944,2980,1026,58500,62100
45900,2944,6828,908,45900,49500
28260,9872,2944,255,28260,31860
60300,2944,6606,2224,60300,63900
48000,4868,2944,2729,48000,51600
33000,3007,2944,347,33000,36600
54000,2944,9907,300,54000,57600
51840,5119,2944,3061,51840,55440
54000,2944,9947,1296,54000,57600
35100,2944,3014,1358,35100,38700
54000,2944,10129,1424,54000,57600
41280,6535,2944,2897,41280,44880
58500,2944,9309,140,58500,62100
52200,2944,4149,2128,52200,55800
40080,9835,2944,247,40080,43680
29040,6828,2944,901,29040,32640
49500,2944,10231,1992,49500,53100
46380,11895,2944,2463,46380,49980
53280,3015,2944,1473,53280,56880
60300,2944,6828,890,60300,63900
26940,10742,2944,1269,26940,30540
39600,2944,3293,1928,39600,43200
45000,2944,6465,1622,45000,48600
56760,10054,2944,701,56760,60360
36000,2944,5712,1062,36000,39600
61200,2944,10060,486,61200,64800
30000,3014,2944,1357,30000,33600
26940,6394,2944,2299,26940,30540
33300,2944,4085,2184,33300,36900
