rq_time,start,end,request_id,earliest_pickup_time,latest_pickup_time
45000,2944,5574,2744,45000,48600
60300,2944,9988,1308,60300,63900
58680,2950,2944,1603,58680,62280
54000,2944,10584,2624,54000,57600
55800,2944,6133,2032,55800,59400
45960,10164,2944,1953,45960,49560
23880,8405,2944,2721,23880,27480
32340,7365,2944,185,32340,35940
36000,2944,3435,2012,36000,39600
50040,9874,2944,195,50040,53640
28380,3303,2944,1919,28380,31980
53100,2944,10838,1196,53100,56700
40500,2944,3013,1408,40500,44100
46380,11298,2944,315,46380,49980
36120,9596,2944,103,36120,39720
32280,4917,2944,2833,32280,35880
33300,2944,12174,2962,33300,36900
61200,2944,10085,1222,61200,64800
34200,2944,6323,1776,34200,37800
63900,2944,10054,706,63900,67500
38340,4078,2944,2237,38340,41940
44580,4175,2944,2251,44580,48180
40620,3009,2944,1519,40620,44220
57780,5118,2944,2979,57780,61380
38340,4078,2944,2235,38340,41940
34680,9789,2944,179,34680,38280
24420,5193,2944,2033,24420,28020
54000,2944,10584,2628,54000,57600
50400,2944,2877,612,50400,54000
63900,2944,10054,680,63900,67500
51060,7225,2944,153,51060,54660
39300,12392,2944,1961,39300,42900
37800,2944,2980,1026,37800,41400
35100,2944,6828,908,35100,38700
39960,9872,2944,255,39960,43560
37800,2944,6606,2224,37800,41400
54300,4868,2944,2729,54300,57900
40200,3007,2944,347,40200,43800
53100,2944,9907,300,53100,56700
44640,5119,2944,3061,44640,48240
53100,2944,9947,1296,53100,56700
38700,2944,3014,1358,38700,42300
36000,2944,10129,1424,36000,39600
45780,6535,2944,2897,45780,49380
38700,2944,9309,140,38700,42300
44100,2944,4149,2128,44100,47700
29280,9835,2944,247,29280,32880
29940,6828,2944,901,29940,33540
47700,2944,10231,1992,47700,51300
50880,11895,2944,2463,50880,54480
53280,3015,2944,1473,53280,56880
35100,2944,6828,890,35100,38700
57540,10742,2944,1269,57540,61140
61200,2944,3293,1928,61200,64800
50400,2944,6465,1622,50400,54000
58560,10054,2944,701,58560,62160
63900,2944,5712,1062,63900,67500
37800,2944,10060,486,37800,41400
33600,3014,2944,1357,33600,37200
34140,6394,2944,2299,34140,37740
58500,2944,4085,2184,58500,62100
41400,2944,9933,762,41400,45000
36240,9933,2944,747,36240,39840
44100,2944,2831,322,44100,47700
56220,7003,2944,2111,56220,59820
49380,7369,2944,189,49380,52980
42540,9939,2944,773,42540,46140
50040,9175,2944,1883,50040,53640
50400,2944,6465,1652,50400,54000
25920,10361,2944,2357,25920,29520
44700,2947,2944,411,44700,48300
51540,10719,2944,2719,51540,55140
55800,2944,4753,2636,55800,59400
45000,2944,5574,2754,45000,48600
40500,2944,3013,1400,40500,44100
38700,2944,3014,1362,38700,42300
38160,4149,2944,2131,38160,41760
47700,2944,7217,52,47700,51300
42120,4635,2944,2591,42120,45720
37800,2944,9491,64,37800,41400
49500,2944,4862,2792,49500,53100
51300,2944,10528,2556,51300,54900
35700,5009,2944,2939,35700,39300
58740,5712,2944,1091,58740,62340
45180,6422,2944,1719,45180,48780
59400,2944,7459,1898,59400,63000
48240,10862,2944,53,48240,51840
55800,2944,4854,2810,55800,59400
34200,2944,3019,1506,34200,37800
22320,12608,2944,2319,22320,25920
45900,4814,2944,2867,45900,49500
44340,11009,2944,545,44340,47940
34320,8605,2944,2951,34320,37920
27240,10119,2944,451,27240,30840
53280,3015,2944,1447,53280,56880
55440,2370,2944,45,55440,59040
41640,10540,2944,2561,41640,45240
32280,3058,2944,1833,32280,35880
32400,2944,3022,830,32400,36000
58080,2903,2944,599,58080,61680
44700,2947,2944,409,44700,48300
56700,2944,10232,1984,56700,60300
39960,9872,2944,257,39960,43560
45480,6133,2944,2031,45480,49080
56700,2944,10576,2612,56700,60300
51720,11818,2944,2431,51720,55320
50400,2944,6422,1704,50400,54000
37800,2944,6628,2504,37800,41400
48720,4858,2944,2841,48720,52320
45600,7264,2944,145,45600,49200
54000,2944,4189,2092,54000,57600
47520,9947,2944,1293,47520,51120
44100,2944,6603,2158,44100,47700
36600,3028,2944,417,36600,40200
35100,2944,6828,930,35100,38700
49260,11429,2944,2025,49260,52860
51060,9713,2944,171,51060,54660
51300,2944,10750,1126,51300,54900
49500,2944,11009,568,49500,53100
63900,2944,2950,1592,63900,67500
45780,6535,2944,2909,45780,49380
46380,9601,2944,135,46380,49980
58500,2944,3015,1468,58500,62100
47880,10011,2944,643,47880,51480
45180,6422,2944,1691,45180,48780
51300,2944,5119,3060,51300,54900
44340,11009,2944,555,44340,47940
51300,2944,12514,2452,51300,54900
52080,4085,2944,2177,52080,55680
56220,7003,2944,2121,56220,59820
61200,2944,5937,1000,61200,64800
59400,2944,9986,292,59400,63000
33600,3014,2944,1339,33600,37200
44100,2944,4078,2250,44100,47700
61200,2944,4350,2044,61200,64800
32400,2944,10119,444,32400,36000
63000,2944,3031,1570,63000,66600
44100,2944,6603,2152,44100,47700
32400,2944,10119,450,32400,36000
37800,2944,2980,1030,37800,41400
52080,4085,2944,2187,52080,55680
42300,2944,10365,2406,42300,45900
34200,2944,6323,1770,34200,37800
23040,7118,2944,1,23040,26640
61200,2944,5937,1002,61200,64800
38340,10105,2944,1049,38340,41940
37680,9863,2944,271,37680,41280
36240,9933,2944,737,36240,39840
44580,9907,2944,299,44580,48180
38400,2382,2944,33,38400,42000
30600,6628,2944,2501,30600,34200
43440,2375,2944,15,43440,47040
42300,2944,9596,94,42300,45900
49500,2944,2947,412,49500,53100
56700,2944,9947,1160,56700,60300
55980,10340,2944,2365,55980,59580
54000,2944,12616,2304,54000,57600
59400,2944,7228,150,59400,63000
63900,2944,2950,1602,63900,67500
38340,10105,2944,1045,38340,41940
44100,2944,6603,2156,44100,47700
