trct,trctname,CNS16,lat,long,tract_number,tract_name,Total Medical Visit
21001970100,"9701 (Adair, KY)",0,37.2350908,-85.1589966,21001970100," Adair County, Tract 970100",116.40071811042824
21001970200,"9702 (Adair, KY)",35,37.1723486,-85.3378147,21001970200," Adair County, Tract 970200",130.70129188256513
21001970300,"9703 (Adair, KY)",5,37.1281637,-85.1565883,21001970300," Adair County, Tract 970300",216.20625142632773
21001970401,"9704.01 (Adair, KY)",355,37.0523709,-85.328457,21001970401," Adair County, Tract 970401",301.56624346031487
21001970402,"9704.02 (Adair, KY)",220,37.1223003,-85.2765566,21001970402," Adair County, Tract 970402",245.3546184973487
21001970500,"9705 (Adair, KY)",2,37.0345903,-85.4404426,21001970500," Adair County, Tract 970500",142.87651217644992
21001970600,"9706 (Adair, KY)",1,37.0014658,-85.2620308,21001970600," Adair County, Tract 970600",100.175175010771
21003920100,"9201 (Allen, KY)",1,36.85153,-86.1686133,21003920100," Allen County, Tract 920100",215.37306346853035
21003920200,"9202 (Allen, KY)",3,36.7747795,-86.3386507,21003920200," Allen County, Tract 920200",172.41709729445185
21003920300,"9203 (Allen, KY)",362,36.7692407,-86.2246641,21003920300," Allen County, Tract 920300",328.88906405388786
21003920400,"9204 (Allen, KY)",30,36.7356624,-86.1261802,21003920400," Allen County, Tract 920400",312.66494932890066
21003920500,"9205 (Allen, KY)",5,36.6889435,-86.0468268,21003920500," Allen County, Tract 920500",88.79827068753804
21003920600,"9206 (Allen, KY)",5,36.6759266,-86.2825845,21003920600," Allen County, Tract 920600",199.0525725258921
21005950100,"9501 (Anderson, KY)",137,38.0719617,-84.8931638,21005950100," Anderson County, Tract 950100",498.6685084599269
21005950201,"9502.01 (Anderson, KY)",190,38.0195214,-84.9218999,21005950201," Anderson County, Tract 950201",343.38675384530154
21005950202,"9502.02 (Anderson, KY)",21,37.9885514,-84.8648294,21005950202," Anderson County, Tract 950202",236.70850541318575
21005950300,"9503 (Anderson, KY)",0,38.053993,-85.0315435,21005950300," Anderson County, Tract 950300",141.58541425355045
21005950400,"9504 (Anderson, KY)",3,37.9514168,-85.0413004,21005950400," Anderson County, Tract 950400",159.48638575333962
21007950100,"9501 (Ballard, KY)",151,37.1038446,-88.9597759,21007950100," Ballard County, Tract 950100",297.836408910959
21007950200,"9502 (Ballard, KY)",5,37.086031,-89.101605,21007950200," Ballard County, Tract 950200",79.43465065043277
21007950300,"9503 (Ballard, KY)",23,36.9762903,-88.9800668,21007950300," Ballard County, Tract 950300",159.44436204015176
21009950100,"9501 (Barren, KY)",32,37.0926705,-85.8496934,21009950100," Barren County, Tract 950100",214.07328755872268
21009950200,"9502 (Barren, KY)",37,37.1105297,-86.0904549,21009950200," Barren County, Tract 950200",226.91211062065543
21009950300,"9503 (Barren, KY)",23,37.0682444,-86.0130385,21009950300," Barren County, Tract 950300",192.30070441484253
21009950400,"9504 (Barren, KY)",344,36.9938634,-85.9436939,21009950400," Barren County, Tract 950400",370.3421009278224
21009950500,"9505 (Barren, KY)",1580,37.0235979,-85.9368596,21009950500," Barren County, Tract 950500",256.7377313928551
21009950600,"9506 (Barren, KY)",635,37.0253975,-85.8259596,21009950600," Barren County, Tract 950600",442.63009537372017
21009950700,"9507 (Barren, KY)",64,36.9551951,-85.9380595,21009950700," Barren County, Tract 950700",386.8977433400943
21009950800,"9508 (Barren, KY)",9,36.9094343,-85.8119017,21009950800," Barren County, Tract 950800",225.21313338627704
21009950900,"9509 (Barren, KY)",4,36.8402214,-85.9535564,21009950900," Barren County, Tract 950900",240.73090435862864
21009951000,"9510 (Barren, KY)",2,36.9725751,-86.0910091,21009951000," Barren County, Tract 951000",219.7694423722624
21011970100,"9701 (Bath, KY)",10,38.2156678,-83.8598297,21011970100," Bath County, Tract 970100",121.25704505382257
21011970200,"9702 (Bath, KY)",216,38.1520678,-83.7612976,21011970200," Bath County, Tract 970200",413.3929940996656
21011970300,"9703 (Bath, KY)",14,38.0699814,-83.6345248,21011970300," Bath County, Tract 970300",229.7575725563594
21013960100,"9601 (Bell, KY)",7,36.8314594,-83.6065575,21013960100," Bell County, Tract 960100",157.75719622642822
21013960200,"9602 (Bell, KY)",373,36.7725443,-83.7445491,21013960200," Bell County, Tract 960200",305.72787704216483
21013960300,"9603 (Bell, KY)",3,36.6992767,-83.6241395,21013960300," Bell County, Tract 960300",161.09499795735329
21013960400,"9604 (Bell, KY)",1,36.7231604,-83.5275217,21013960400," Bell County, Tract 960400",123.21393994303637
21013960500,"9605 (Bell, KY)",75,36.6418622,-83.6553543,21013960500," Bell County, Tract 960500",121.92116396550574
21013960600,"9606 (Bell, KY)",65,36.597367,-83.7661544,21013960600," Bell County, Tract 960600",239.51153402261303
21013960700,"9607 (Bell, KY)",498,36.6181254,-83.726099,21013960700," Bell County, Tract 960700",165.33712373371648
21013960800,"9608 (Bell, KY)",169,36.6412977,-83.7508316,21013960800," Bell County, Tract 960800",255.5178136855388
21013961100,"9611 (Bell, KY)",106,36.668702,-83.8157056,21013961100," Bell County, Tract 961100",201.75809559150144
21015070100,"701 (Boone, KY)",1018,39.0064758,-84.6346865,21015070100," Boone County, Tract 070100",415.3828030962986
21015070200,"702 (Boone, KY)",341,38.9912304,-84.6258979,21015070200," Boone County, Tract 070200",367.1062541533637
21015070301,"703.01 (Boone, KY)",61,38.9592367,-84.6243034,21015070301," Boone County, Tract 070301",289.9917561282904
21015070305,"703.05 (Boone, KY)",44,39.0082297,-84.6893406,21015070305," Boone County, Tract 070305",394.9102240830064
21015070307,"703.07 (Boone, KY)",140,38.9582183,-84.7080691,21015070307," Boone County, Tract 070307",696.3289007563482
21015070308,"703.08 (Boone, KY)",254,38.9632762,-84.6547243,21015070308," Boone County, Tract 070308",729.896152280493
21015070309,"703.09 (Boone, KY)",100,38.9433263,-84.6523564,21015070309," Boone County, Tract 070309",348.65969937806045
21015070311,"703.11 (Boone, KY)",2231,39.02161,-84.6381763,21015070311," Boone County, Tract 070311",186.97000686332893
21015070312,"703.12 (Boone, KY)",767,38.9907225,-84.6539521,21015070312," Boone County, Tract 070312",204.7800203078506
21015070313,"703.13 (Boone, KY)",68,38.9873417,-84.6780147,21015070313," Boone County, Tract 070313",200.044382741388
21015070314,"703.14 (Boone, KY)",102,38.9986368,-84.6754826,21015070314," Boone County, Tract 070314",293.89675409456794
21015070401,"704.01 (Boone, KY)",100,39.1046453,-84.7315482,21015070401," Boone County, Tract 070401",541.1563000882019
21015070402,"704.02 (Boone, KY)",151,39.0696517,-84.7747283,21015070402," Boone County, Tract 070402",501.2521287026173
21015070502,"705.02 (Boone, KY)",7,38.9850463,-84.802157,21015070502," Boone County, Tract 070502",295.3781630462854
21015070503,"705.03 (Boone, KY)",204,39.026258,-84.7069648,21015070503," Boone County, Tract 070503",404.4441724534464
21015070504,"705.04 (Boone, KY)",37,39.0241687,-84.7391036,21015070504," Boone County, Tract 070504",435.165749668372
21015070601,"706.01 (Boone, KY)",16,38.9102666,-84.7363273,21015070601," Boone County, Tract 070601",174.73575102596897
21015070604,"706.04 (Boone, KY)",4,38.8335472,-84.6727823,21015070604," Boone County, Tract 070604",205.79731481959635
21015070605,"706.05 (Boone, KY)",73,38.9218898,-84.6553533,21015070605," Boone County, Tract 070605",435.1594429179066
21015070606,"706.06 (Boone, KY)",126,38.9004399,-84.6201414,21015070606," Boone County, Tract 070606",237.8216353957664
21015070607,"706.07 (Boone, KY)",18,38.8855828,-84.6556978,21015070607," Boone County, Tract 070607",245.5400382967624
21015980100,"9801 (Boone, KY)",1,39.0508519,-84.6646085,21015980100," Boone County, Tract 980100",0.0
21017030100,"301 (Bourbon, KY)",445,38.2240822,-84.2136025,21017030100," Bourbon County, Tract 030100",252.57681067977663
21017030200,"302 (Bourbon, KY)",328,38.1944653,-84.265089,21017030200," Bourbon County, Tract 030200",385.8692804340043
21017030300,"303 (Bourbon, KY)",4,38.1462207,-84.2705564,21017030300," Bourbon County, Tract 030300",207.5881078879606
21017030400,"304 (Bourbon, KY)",41,38.2484663,-84.3488025,21017030400," Bourbon County, Tract 030400",167.85525837409193
21017030500,"305 (Bourbon, KY)",20,38.2966426,-84.1784698,21017030500," Bourbon County, Tract 030500",158.90626933674898
21017030600,"306 (Bourbon, KY)",6,38.1874792,-84.0825758,21017030600," Bourbon County, Tract 030600",129.95683511839562
21019030200,"302 (Boyd, KY)",1328,38.4871054,-82.6499481,21019030200," Boyd County, Tract 030200",67.93763081269877
21019030300,"303 (Boyd, KY)",3460,38.4708546,-82.6344004,21019030300," Boyd County, Tract 030300",125.07635919272076
21019030400,"304 (Boyd, KY)",13,38.4537513,-82.6152385,21019030400," Boyd County, Tract 030400",116.3767413332037
21019030500,"305 (Boyd, KY)",36,38.4487101,-82.631052,21019030500," Boyd County, Tract 030500",286.5863681310269
21019030600,"306 (Boyd, KY)",78,38.4473526,-82.6656609,21019030600," Boyd County, Tract 030600",260.23638073765244
21019030700,"307 (Boyd, KY)",304,38.4656837,-82.6452451,21019030700," Boyd County, Tract 030700",222.9618396913073
21019030800,"308 (Boyd, KY)",68,38.465276,-82.6668733,21019030800," Boyd County, Tract 030800",233.9690311016846
21019030900,"309 (Boyd, KY)",254,38.4741089,-82.6880589,21019030900," Boyd County, Tract 030900",362.0338335389956
21019031001,"310.01 (Boyd, KY)",179,38.384826,-82.7675177,21019031001," Boyd County, Tract 031001",95.75025195931238
21019031002,"310.02 (Boyd, KY)",40,38.4327179,-82.7013313,21019031002," Boyd County, Tract 031002",426.6028995288684
21019031100,"311 (Boyd, KY)",181,38.3226432,-82.713108,21019031100," Boyd County, Tract 031100",501.65499857469325
21019031200,"312 (Boyd, KY)",13,38.3280006,-82.6159556,21019031200," Boyd County, Tract 031200",250.7477755274847
21019031300,"313 (Boyd, KY)",32,38.4156223,-82.6275145,21019031300," Boyd County, Tract 031300",158.30782494939305
21021930100,"9301 (Boyle, KY)",143,37.6862626,-84.7520071,21021930100," Boyle County, Tract 930100",381.62407091161856
21021930200,"9302 (Boyle, KY)",315,37.6466814,-84.7122411,21021930200," Boyle County, Tract 930200",303.87702288745555
21021930300,"9303 (Boyle, KY)",1721,37.6417428,-84.7736443,21021930300," Boyle County, Tract 930300",210.19200287811495
21021930400,"9304 (Boyle, KY)",276,37.6156983,-84.7725542,21021930400," Boyle County, Tract 930400",244.9702032135547
21021930500,"9305 (Boyle, KY)",429,37.6561296,-84.8324774,21021930500," Boyle County, Tract 930500",229.4380284781005
21021930600,"9306 (Boyle, KY)",17,37.6224723,-84.9586179,21021930600," Boyle County, Tract 930600",264.9129264763541
21021930700,"9307 (Boyle, KY)",23,37.5807128,-84.8833871,21021930700," Boyle County, Tract 930700",299.0052287085384
21023950100,"9501 (Bracken, KY)",51,38.7490669,-83.9990645,21023950100," Bracken County, Tract 950100",170.2274146890963
21023950200,"9502 (Bracken, KY)",3,38.7414812,-84.1741495,21023950200," Bracken County, Tract 950200",113.153753712752
21023950300,"9503 (Bracken, KY)",71,38.6441252,-84.0879829,21023950300," Bracken County, Tract 950300",233.70614665202731
21025920100,"9201 (Breathitt, KY)",1,37.6420089,-83.3603699,21025920100," Breathitt County, Tract 920100",80.93081262565507
21025920200,"9202 (Breathitt, KY)",23,37.5620526,-83.5139845,21025920200," Breathitt County, Tract 920200",131.89877270451663
21025920300,"9203 (Breathitt, KY)",719,37.5801106,-83.3677041,21025920300," Breathitt County, Tract 920300",220.044628505066
21025920400,"9204 (Breathitt, KY)",7,37.5887085,-83.1339045,21025920400," Breathitt County, Tract 920400",72.38356569554608
21025920500,"9205 (Breathitt, KY)",85,37.415813,-83.4934633,21025920500," Breathitt County, Tract 920500",93.93931482428798
21025920600,"9206 (Breathitt, KY)",20,37.4266193,-83.3580843,21025920600," Breathitt County, Tract 920600",114.65254339532592
21025920700,"9207 (Breathitt, KY)",180,37.465638,-83.211598,21025920700," Breathitt County, Tract 920700",107.63910702323702
21027960100,"9601 (Breckinridge, KY)",50,37.8942099,-86.3750848,21027960100," Breckinridge County, Tract 960100",313.88910763228847
21027960200,"9602 (Breckinridge, KY)",529,37.777988,-86.4329188,21027960200," Breckinridge County, Tract 960200",353.6796541437617
21027960300,"9603 (Breckinridge, KY)",8,37.8008406,-86.5795627,21027960300," Breckinridge County, Tract 960300",199.9511941739804
21027960400,"9604 (Breckinridge, KY)",2,37.6439404,-86.5288232,21027960400," Breckinridge County, Tract 960400",96.59962690101383
21027960501,"9605.01 (Breckinridge, KY)",0,37.7537778,-86.2674781,21027960501," Breckinridge County, Tract 960501",123.1432178232348
21027960502,"9605.02 (Breckinridge, KY)",7,37.6413271,-86.352752,21027960502," Breckinridge County, Tract 960502",228.5851265456041
21029020101,"201.01 (Bullitt, KY)",210,38.0451169,-85.5603936,21029020101," Bullitt County, Tract 020101",233.3587719291808
21029020102,"201.02 (Bullitt, KY)",74,38.0638715,-85.5706085,21029020102," Bullitt County, Tract 020102",207.74774878882903
21029020103,"201.03 (Bullitt, KY)",175,38.0855283,-85.5031292,21029020103," Bullitt County, Tract 020103",212.9070746242719
21029020201,"202.01 (Bullitt, KY)",41,38.0157963,-85.6036812,21029020201," Bullitt County, Tract 020201",370.7268210499641
21029020202,"202.02 (Bullitt, KY)",152,38.038818,-85.5133614,21029020202," Bullitt County, Tract 020202",264.09967069830464
21029020300,"203 (Bullitt, KY)",46,38.0340093,-85.6288157,21029020300," Bullitt County, Tract 020300",320.0039259069804
21029020400,"204 (Bullitt, KY)",117,38.0519598,-85.6536101,21029020400," Bullitt County, Tract 020400",469.9820171276077
21029020500,"205 (Bullitt, KY)",110,38.0755105,-85.6765574,21029020500," Bullitt County, Tract 020500",337.40399519110366
21029020601,"206.01 (Bullitt, KY)",34,38.0778526,-85.6924656,21029020601," Bullitt County, Tract 020601",380.6606206381397
21029020602,"206.02 (Bullitt, KY)",128,38.0450288,-85.6906304,21029020602," Bullitt County, Tract 020602",111.97333921251432
21029020701,"207.01 (Bullitt, KY)",129,38.0091267,-85.7145819,21029020701," Bullitt County, Tract 020701",413.0186768917316
21029020702,"207.02 (Bullitt, KY)",148,37.9977271,-85.6968032,21029020702," Bullitt County, Tract 020702",143.06879271716923
21029020800,"208 (Bullitt, KY)",14,38.03793,-85.7364377,21029020800," Bullitt County, Tract 020800",331.3981647268621
21029020900,"209 (Bullitt, KY)",0,38.0278161,-85.8219966,21029020900," Bullitt County, Tract 020900",209.05768621551596
21029021101,"211.01 (Bullitt, KY)",85,37.9699446,-85.7026357,21029021101," Bullitt County, Tract 021101",343.0189446862465
21029021102,"211.02 (Bullitt, KY)",6,37.9602102,-85.5938636,21029021102," Bullitt County, Tract 021102",290.0018990983432
21029021200,"212 (Bullitt, KY)",4,37.8785901,-85.6765158,21029021200," Bullitt County, Tract 021200",327.6446645115134
21029980100,"9801 (Bullitt, KY)",0,37.9457936,-85.810759,21029980100," Bullitt County, Tract 980100",0.0
21031930100,"9301 (Butler, KY)",11,37.3162232,-86.6220725,21031930100," Butler County, Tract 930100",202.46682969924885
21031930200,"9302 (Butler, KY)",0,37.2416585,-86.519577,21031930200," Butler County, Tract 930200",106.23272929643936
21031930300,"9303 (Butler, KY)",313,37.2201287,-86.7365307,21031930300," Butler County, Tract 930300",310.49113355423503
21031930400,"9304 (Butler, KY)",4,37.0872907,-86.7250544,21031930400," Butler County, Tract 930400",116.07802446901027
21031930500,"9305 (Butler, KY)",2,37.1576813,-86.850052,21031930500," Butler County, Tract 930500",82.26863678834579
21033920100,"9201 (Caldwell, KY)",37,37.2368696,-87.9344818,21033920100," Caldwell County, Tract 920100",154.35040798278078
21033920200,"9202 (Caldwell, KY)",383,37.1537292,-87.8896006,21033920200," Caldwell County, Tract 920200",315.2656938374228
21033920300,"9203 (Caldwell, KY)",103,37.0568654,-87.8262434,21033920300," Caldwell County, Tract 920300",383.3674933285256
21035010100,"101 (Calloway, KY)",7,36.6756623,-88.1812329,21035010100," Calloway County, Tract 010100",284.0113412452758
21035010200,"102 (Calloway, KY)",54,36.7028365,-88.3851708,21035010200," Calloway County, Tract 010200",273.27769569571586
21035010301,"103.01 (Calloway, KY)",0,36.6167161,-88.3199351,21035010301," Calloway County, Tract 010301",153.33699774330512
21035010302,"103.02 (Calloway, KY)",145,36.6410567,-88.332169,21035010302," Calloway County, Tract 010302",352.2420775789415
21035010400,"104 (Calloway, KY)",138,36.641917,-88.2887186,21035010400," Calloway County, Tract 010400",131.05465281996754
21035010500,"105 (Calloway, KY)",1223,36.5916857,-88.2897023,21035010500," Calloway County, Tract 010500",219.61336719934525
21035010600,"106 (Calloway, KY)",485,36.5822065,-88.3398713,21035010600," Calloway County, Tract 010600",554.1690630692162
21035010700,"107 (Calloway, KY)",7,36.5616791,-88.4177546,21035010700," Calloway County, Tract 010700",211.25832937604264
21035010800,"108 (Calloway, KY)",9,36.5568018,-88.1607721,21035010800," Calloway County, Tract 010800",238.6473688328064
21037050100,"501 (Campbell, KY)",12,39.0894248,-84.5005224,21037050100," Campbell County, Tract 050100",83.63883490449854
21037050400,"504 (Campbell, KY)",142,39.0925615,-84.4853443,21037050400," Campbell County, Tract 050400",137.84112981068537
21037050500,"505 (Campbell, KY)",31,39.0863272,-84.49059,21037050500," Campbell County, Tract 050500",107.68858254196952
21037050600,"506 (Campbell, KY)",31,39.0821052,-84.4960347,21037050600," Campbell County, Tract 050600",112.52872690662495
21037051101,"511.01 (Campbell, KY)",10,39.1134262,-84.4765814,21037051101," Campbell County, Tract 051101",128.92705112040795
21037051102,"511.02 (Campbell, KY)",2,39.1067697,-84.4682178,21037051102," Campbell County, Tract 051102",100.67174761599505
21037051200,"512 (Campbell, KY)",19,39.1155081,-84.457839,21037051200," Campbell County, Tract 051200",64.84088115762471
21037051300,"513 (Campbell, KY)",13,39.1000643,-84.4531134,21037051300," Campbell County, Tract 051300",286.35042662726903
21037051901,"519.01 (Campbell, KY)",5,38.9765271,-84.339081,21037051901," Campbell County, Tract 051901",320.0219046049464
21037051903,"519.03 (Campbell, KY)",323,38.9676852,-84.4090217,21037051903," Campbell County, Tract 051903",378.7692256307178
21037051904,"519.04 (Campbell, KY)",35,38.9168592,-84.4219458,21037051904," Campbell County, Tract 051904",275.29528131254403
21037052001,"520.01 (Campbell, KY)",8,38.8706966,-84.3834117,21037052001," Campbell County, Tract 052001",306.4387056930042
21037052002,"520.02 (Campbell, KY)",35,38.9095599,-84.3266864,21037052002," Campbell County, Tract 052002",181.46728976954415
21037052100,"521 (Campbell, KY)",89,39.1049623,-84.4841384,21037052100," Campbell County, Tract 052100",210.4823969445367
21037052200,"522 (Campbell, KY)",2,39.0992314,-84.4729592,21037052200," Campbell County, Tract 052200",133.298237355983
21037052301,"523.01 (Campbell, KY)",1162,39.0824357,-84.4571108,21037052301," Campbell County, Tract 052301",300.6370296661758
21037052302,"523.02 (Campbell, KY)",110,39.0748598,-84.4515375,21037052302," Campbell County, Tract 052302",290.7848310948208
21037052400,"524 (Campbell, KY)",293,39.0810661,-84.4753141,21037052400," Campbell County, Tract 052400",170.7329412981327
21037052500,"525 (Campbell, KY)",81,39.0692571,-84.4818537,21037052500," Campbell County, Tract 052500",311.75583507168955
21037052800,"528 (Campbell, KY)",608,39.05639,-84.4448805,21037052800," Campbell County, Tract 052800",216.62979800913493
21037052900,"529 (Campbell, KY)",136,39.0319988,-84.425154,21037052900," Campbell County, Tract 052900",346.29060720770934
21037053100,"531 (Campbell, KY)",279,39.0087683,-84.3912031,21037053100," Campbell County, Tract 053100",396.3563529916453
21037053200,"532 (Campbell, KY)",227,39.0955926,-84.494182,21037053200," Campbell County, Tract 053200",183.58072174812477
21037053301,"533.01 (Campbell, KY)",174,39.0202081,-84.4600534,21037053301," Campbell County, Tract 053301",395.05584838198206
21037053302,"533.02 (Campbell, KY)",269,39.0421147,-84.4760398,21037053302," Campbell County, Tract 053302",290.40113540727145
21039960100,"9601 (Carlisle, KY)",2,36.8989682,-88.8742277,21039960100," Carlisle County, Tract 960100",96.0087807233376
21039960200,"9602 (Carlisle, KY)",130,36.8571496,-89.0570877,21039960200," Carlisle County, Tract 960200",124.08939735293242
21039960300,"9603 (Carlisle, KY)",7,36.8080026,-88.9180902,21039960300," Carlisle County, Tract 960300",96.73950876159866
