request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
19,BasicRequest,1,600,600,1174;-1;-1,8523;-1;-1,,,,,222.168342226,2545.617,0:,,,,,,,,0
21,BasicRequest,1,600,600,3891;-1;-1,4934;-1;-1,,,,,394.21452550800007,4700.148999999999,0:,,,,,,,,0
3,BasicRequest,1,120,120,6011;-1;-1,4994;-1;-1,,,,,242.18149316399996,3232.8820000000005,0:t_wait:280.03810781500005;t_drive:272.18149316399996;fare:323,,,0,3,400.0381078149999,672.2196009790002,323,0
29,BasicRequest,1,840,840,1498;-1;-1,7173;-1;-1,,,,,672.580080471,9963.111,0:,,,,,,,,0
8,BasicRequest,1,360,360,5255;-1;-1,6141;-1;-1,,,,,496.6311523339999,5875.488999999999,0:t_wait:0;t_drive:526.6311523339999;fare:587,,,0.0,1.0,360.0,886.6311523339999,587.0,0
30,BasicRequest,1,900,900,1498;-1;-1,5106;-1;-1,,,,,1008.216851653,14434.571,0:,,,,,,,,0
31,BasicRequest,1,900,900,7547;-1;-1,10914;-1;-1,,,,,360.38757501099997,4653.456,0:,,,,,,,,0
32,BasicRequest,1,960,960,4428;-1;-1,4934;-1;-1,,,,,317.794029291,3377.954,0:,,,,,,,,0
33,BasicRequest,1,960,960,1498;-1;-1,605;-1;-1,,,,,815.68899051,12551.361,0:,,,,,,,,0
24,BasicRequest,1,780,780,5881;-1;-1,10159;-1;-1,,,,,154.076473737,1650.131,0:t_wait:87.66308157100025;t_drive:184.07647373700001;fare:165,,,0.0,3.0,867.6630815710001,1051.7395553080003,165.0,0
1,BasicRequest,1,0,0,4074;-1;-1,10159;-1;-1,,,,,570.0834843480001,7760.596,0:t_wait:438.389783078;t_drive:600.0834843480002;fare:776,,,0.0,8.0,438.38978307799994,1038.4732674260001,776.0,0
35,BasicRequest,1,1080,1080,1608;-1;-1,7746;-1;-1,,,,,309.619056153,4454.115,0:,,,,,,,,0
36,BasicRequest,1,1080,1080,4541;-1;-1,5255;-1;-1,,,,,222.38391899099997,2669.475,0:,,,,,,,,0
39,BasicRequest,1,1140,1140,1498;-1;-1,5410;-1;-1,,,,,704.000183503,10219.157,0:,,,,,,,,0
12,BasicRequest,1,420,420,1521;-1;-1,185;-1;-1,,,,,312.936603525,3980.2189999999996,0:t_wait:411.75728827500006;t_drive:342.936603525;fare:398,,,0.0,4.0,831.757288275,1174.6938918,398.0,0
27,BasicRequest,1,840,840,1558;-1;-1,10159;-1;-1,,,,,239.53213679699996,3134.099,0:t_wait:38.16299821700011;t_drive:269.5321367969999;fare:313,,,0.0,6.0,878.162998217,1147.6951350139998,313.0,0
40,BasicRequest,1,1200,1200,2346;-1;-1,6011;-1;-1,,,,,424.04585668000004,5404.888000000001,0:,,,,,,,,0
41,BasicRequest,1,1200,1200,1498;-1;-1,1174;-1;-1,,,,,792.253047934,11258.323,0:,,,,,,,,0
42,BasicRequest,1,1200,1200,1608;-1;-1,4055;-1;-1,,,,,560.203648193,6594.877,0:,,,,,,,,0
43,BasicRequest,1,1200,1200,1498;-1;-1,4934;-1;-1,,,,,1055.555174448,15479.159,0:,,,,,,,,0
11,BasicRequest,1,420,420,4420;-1;-1,10159;-1;-1,,,,,405.278817196,5809.067000000001,0:t_wait:376.92487335600003;t_drive:435.27881719599986;fare:580,,,0.0,2.0,796.9248733559999,1232.2036905520001,580.0,0
45,BasicRequest,1,1260,1260,1498;-1;-1,5681;-1;-1,,,,,1206.6465947049996,19617.343,0:,,,,,,,,0
48,BasicRequest,1,1320,1320,8210;-1;-1,4251;-1;-1,,,,,956.685065167,13023.148,0:,,,,,,,,0
9,BasicRequest,1,360,360,5881;-1;-1,1558;-1;-1,,,,,327.694734177,4129.030000000001,0:t_wait:507.6630815709999;t_drive:357.694734177;fare:412,,,0,3,867.6630815710001,1326.4940515680003,412,0
52,BasicRequest,1,1440,1440,5410;-1;-1,4251;-1;-1,,,,,331.647173681,3473.866,0:,,,,,,,,0
17,BasicRequest,1,480,480,7547;-1;-1,605;-1;-1,,,,,473.617264862,6824.736000000001,0:t_wait:458.21302494999986;t_drive:503.61726486199996;fare:682,,,0,5,938.2130249500002,1441.8302898120005,682,0
53,BasicRequest,1,1560,1560,4251;-1;-1,4994;-1;-1,,,,,320.161641139,3865.245,0:,,,,,,,,0
7,BasicRequest,1,240,240,10301;-1;-1,4428;-1;-1,,,,,592.844517463,7300.671,0:t_wait:479.29491857699986;t_drive:871.459530654;fare:730,,,0,9,719.2949185769999,1590.7544492309999,730,0
13,BasicRequest,1,420,420,5106;-1;-1,7746;-1;-1,,,,,91.702886387,992.331,0:t_wait:1124.6510020189999;t_drive:121.70288638700004;fare:100,,,0.0,2.0,1544.651002019,1666.3538884060001,100.0,0
54,BasicRequest,1,1680,1680,1498;-1;-1,1174;-1;-1,,,,,792.253047934,11258.323,0:,,,,,,,,0
18,BasicRequest,1,600,600,4420;-1;-1,7899;-1;-1,,,,,456.302278056,6501.621999999999,0:t_wait:597.127413873;t_drive:486.302278056;fare:650,,,0.0,7.0,1197.1274138729998,1683.4296919290002,650.0,0
57,BasicRequest,1,1740,1740,9641;-1;-1,9377;-1;-1,,,,,261.867396525,3488.668,0:,,,,,,,,0
58,BasicRequest,1,1740,1740,1498;-1;-1,8002;-1;-1,,,,,1107.806482253,16729.258,0:,,,,,,,,0
59,BasicRequest,1,1740,1740,1973;-1;-1,5410;-1;-1,,,,,252.356276841,2976.0409999999993,0:,,,,,,,,0
14,BasicRequest,1,420,420,7173;-1;-1,5106;-1;-1,,,,,444.392683078,5323.136,0:t_wait:939.7922689109998;t_drive:474.3926830779999;fare:532,,,0,8,1359.792268910999,1834.1849519889986,532,0
63,BasicRequest,1,1920,1920,1498;-1;-1,7746;-1;-1,,,,,1021.2366767160001,15556.014000000001,0:,,,,,,,,0
64,BasicRequest,1,1920,1920,4420;-1;-1,5238;-1;-1,,,,,304.195318562,3337.1219999999994,0:,,,,,,,,0
15,BasicRequest,1,480,480,1498;-1;-1,9377;-1;-1,,,,,807.2243550779999,10289.622,0:t_wait:605.9767716199999;t_drive:837.2243550779999;fare:1028,,,0.0,0.0,1085.9767716200001,1923.201126698,1028.0,0
16,BasicRequest,1,480,480,5410;-1;-1,4881;-1;-1,,,,,394.19096406200003,4626.17,0:t_wait:849.3698093590006;t_drive:424.19096406200015;fare:462,,,0.0,6.0,1500.4342395309986,1924.6252035929986,462.0,0
66,BasicRequest,1,1980,1980,5269;-1;-1,8002;-1;-1,,,,,356.32923903200003,5144.905,0:,,,,,,,,0
69,BasicRequest,1,2040,2040,4881;-1;-1,10159;-1;-1,,,,,337.049058493,4371.597,0:,,,,,,,,0
70,BasicRequest,1,2040,2040,4254;-1;-1,2074;-1;-1,,,,,828.852257964,11399.996,0:,,,,,,,,0
71,BasicRequest,1,2040,2040,4307;-1;-1,7547;-1;-1,,,,,677.9370978139998,10144.034,0:,,,,,,,,0
10,BasicRequest,1,360,360,4994;-1;-1,1521;-1;-1,,,,,546.6752877280001,7256.414999999997,0:t_wait:1154.0246347870002;t_drive:576.6752877280001;fare:725,,,0,1,1514.0246347869997,2090.699922515,725,0
6,BasicRequest,1,240,240,887;-1;-1,8698;-1;-1,,,,,736.318255555,11332.745000000003,0:t_wait:329.4975255259999;t_drive:766.318255555;fare:1133,,,0,9,1029.7387666879997,2080.448398036,1133,0
28,BasicRequest,1,840,840,2074;-1;-1,5311;-1;-1,,,,,196.942244791,1912.7110000000002,0:t_wait:1033.2496122580003;t_drive:226.9422447909999;fare:191,,,0.0,5.0,1873.2496122580003,2100.191857049,191.0,0
20,BasicRequest,1,600,600,7899;-1;-1,11010;-1;-1,,,,,407.161102378,5350.876,0:t_wait:1083.429691929;t_drive:437.1611023780001;fare:535,,,0.0,7.0,1683.4296919290002,2120.590794307,535.0,0
75,BasicRequest,1,2160,2160,4307;-1;-1,8002;-1;-1,,,,,1042.1308601480002,16122.523000000001,0:,,,,,,,,0
26,BasicRequest,1,840,840,8210;-1;-1,955;-1;-1,,,,,683.187414295,8817.237000000001,0:t_wait:680.2749439930001;t_drive:713.1874142950003;fare:881,,,0,4,1520.2749439929999,2233.462358288,881,0
67,BasicRequest,1,1980,1980,605;-1;-1,6011;-1;-1,,,,,89.906258739,1215.0040000000001,0:t_wait:130.82193703499888;t_drive:119.9062587389999;fare:121,,,0,8,2110.8219370349984,2230.7281957739983,121,0
77,BasicRequest,1,2340,2340,5106;-1;-1,11447;-1;-1,,,,,493.794929128,6408.278,0:,,,,,,,,0
22,BasicRequest,1,720,720,5106;-1;-1,223;-1;-1,,,,,693.8995271739999,10547.830999999998,0:t_wait:824.6510020189999;t_drive:830.9195577539999;fare:1054,,,0,2,1544.651002019,2375.5705597730002,1054,0
34,BasicRequest,1,1020,1020,605;-1;-1,10186;-1;-1,,,,,240.890316622,3230.4660000000003,0:t_wait:1090.8219370350002;t_drive:270.8903166220002;fare:323,,,0.0,8.0,2110.8219370349984,2436.546763139998,323.0,0
79,BasicRequest,1,2460,2460,1498;-1;-1,7173;-1;-1,,,,,672.580080471,9963.111,0:,,,,,,,,0
23,BasicRequest,1,780,780,5681;-1;-1,4994;-1;-1,,,,,667.772126492,9053.508999999998,0:t_wait:889.1623876110002;t_drive:697.7721264920001;fare:905,,,0.0,3.0,1770.2986234310004,2468.070749923,905.0,0
80,BasicRequest,1,2520,2520,1498;-1;-1,5106;-1;-1,,,,,1008.216851653,14434.571,0:,,,,,,,,0
81,BasicRequest,1,2520,2520,1498;-1;-1,2420;-1;-1,,,,,864.707719555,14093.684000000001,0:,,,,,,,,0
4,BasicRequest,1,180,180,1498;-1;-1,10186;-1;-1,,,,,1056.5793071320002,15781.827000000001,0:t_wait:905.9767716200004;t_drive:1086.5793071320004;fare:1578,,,0.0,0.0,1085.9767716200001,2583.6601379879994,1578.0,0
84,BasicRequest,1,2640,2640,1498;-1;-1,3562;-1;-1,,,,,1178.606903453,17830.597,0:,,,,,,,,0
87,BasicRequest,1,2700,2700,1498;-1;-1,9040;-1;-1,,,,,1632.411361681,25366.450999999994,0:,,,,,,,,0
50,BasicRequest,1,1320,1320,4428;-1;-1,4541;-1;-1,,,,,311.48763595599996,3745.0970000000007,0:t_wait:1040.2058003829989;t_drive:341.48763595599985;fare:374,,,0.0,6.0,2360.2058003829984,2701.6934363389983,374.0,0
88,BasicRequest,1,2760,2760,5238;-1;-1,4931;-1;-1,,,,,494.71904644100005,6555.840999999999,0:,,,,,,,,0
89,BasicRequest,1,2760,2760,1498;-1;-1,5881;-1;-1,,,,,812.4316455430001,11681.866000000002,0:,,,,,,,,0
91,BasicRequest,1,2820,2820,1498;-1;-1,9641;-1;-1,,,,,902.9430056379999,12606.262999999999,0:,,,,,,,,0
92,BasicRequest,1,2820,2820,1498;-1;-1,677;-1;-1,,,,,1285.456243057,18352.477,0:,,,,,,,,0
93,BasicRequest,1,2820,2820,1498;-1;-1,1174;-1;-1,,,,,792.253047934,11258.323,0:,,,,,,,,0
44,BasicRequest,1,1200,1200,5311;-1;-1,8210;-1;-1,,,,,727.750764158,9984.318,0:t_wait:900.1918570490006;t_drive:757.750764158;fare:998,,,0,5,2100.191857049,2857.942621207001,998,0
51,BasicRequest,1,1440,1440,4541;-1;-1,4428;-1;-1,,,,,311.206833244,3741.2610000000004,0:t_wait:1066.8605618309998;t_drive:341.2068332439999;fare:374,,,0,9,2506.8605618310003,2848.067395075,374,0
47,BasicRequest,1,1260,1260,9377;-1;-1,8002;-1;-1,,,,,514.6623000239999,7250.429,0:t_wait:868.0645410569991;t_drive:544.6623000240002;fare:725,,,0,6,2128.064541056998,2888.094205852998,725,0
