request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
293,BasicRequest,1,17460,17460,8812;-1;-1,2944;-1;-1,,,,,9380.02624989478,215351.86,0:,,,,,,,,0
2969,BasicRequest,1,18660,18660,1598;-1;-1,2944;-1;-1,,,,,13454.42524051247,315431.1279999999,0:,,,,,,,,0
2327,BasicRequest,1,19380,19380,11707;-1;-1,2944;-1;-1,,,,,10406.610167531468,238009.90200000003,0:,,,,,,,,0
2319,BasicRequest,1,21000,21000,10293;-1;-1,2944;-1;-1,,,,,7751.306216553226,178034.788,0:,,,,,,,,0
1967,BasicRequest,1,21300,21300,12392;-1;-1,2944;-1;-1,,,,,10720.80242938241,249034.83700000006,0:,,,,,,,,0
2317,BasicRequest,1,21540,21540,11599;-1;-1,2944;-1;-1,,,,,6287.599565403629,140698.06300000002,0:,,,,,,,,0
2307,BasicRequest,1,21780,21780,7849;-1;-1,2944;-1;-1,,,,,6574.700299700687,140184.222,0:,,,,,,,,0
287,BasicRequest,1,21900,21900,11265;-1;-1,2944;-1;-1,,,,,6554.206582281889,153629.32300000003,0:,,,,,,,,0
1,BasicRequest,1,22260,22260,7098;-1;-1,2944;-1;-1,,,,,6190.953722515642,124727.529,0:,,,,,,,,0
1819,BasicRequest,1,22740,22740,12802;-1;-1,2944;-1;-1,,,,,9306.54155792779,216405.49099999998,0:,,,,,,,,0
2613,BasicRequest,1,22740,22740,1591;-1;-1,2944;-1;-1,,,,,11216.92986969095,270186.061,0:,,,,,,,,0
2989,BasicRequest,1,22920,22920,12394;-1;-1,2944;-1;-1,,,,,6990.461250656599,168365.15800000005,0:,,,,,,,,0
7,BasicRequest,1,23040,23040,7121;-1;-1,2944;-1;-1,,,,,11398.75701965157,265916.17899999995,0:,,,,,,,,0
191,BasicRequest,1,23040,23040,9779;-1;-1,2944;-1;-1,,,,,6820.359407739868,154295.488,0:,,,,,,,,0
