operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,4,default_vehtype,route,False,26640,26880,2944;-1;-1,6857;2880;0.179,3590.6578000000645,0.972334458524792,0.9719753927447919,0.0,,0,,0,,,2944;2971;3045;3026;6857,2944:26640;2971:26684.009093146025;3045:26724.548390524335;3026:26819.97497427523;6857:26870.20691660701
0,3,default_vehtype,route,False,26640,27274.41451043196,2944;-1;-1,6968;-1;-1,10108.962000000001,0.9627983191463305,0.9617874229463305,0.0,,0,,0,,,2944;2945;5602;2949;6832;2960;2975;2917;2882;5762;6421;2976;2977;2973;6968,2944:26640;2945:26703.109245577256;5602:26761.110686803353;2949:26852.147442862253;6832:26946.91127831322;2960:26952.174286097757;2975:27054.529570300514;2917:27059.465471907853;2882:27077.21322277009;5762:27089.878400179474;6421:27091.415277091037;2976:27203.97043790642;2977:27204.813356172835;2973:27205.802249784145;6968:27274.41451043196
0,3,default_vehtype,boarding,True,27274.41451043196,27304.41451043196,6968;-1;-1,6968;-1;-1,0.0,0.9617874229463305,0.9617874229463305,0,,0,1673,1,1673,,,
0,0,default_vehtype,route,False,26400.0,27368.226295875796,2944;-1;-1,5130;-1;-1,17050.38600000001,0.7842169744343243,0.782511935834324,0.0,,0,,0,,,2944;2945;5602;2949;6832;2960;2975;2917;2882;5762;6421;2976;2977;5082;5046;5130,2944:26400;2945:26463.109245577256;5602:26521.110686803353;2949:26612.147442862253;6832:26706.91127831322;2960:26712.174286097757;2975:26814.529570300514;2917:26819.465471907853;2882:26837.21322277009;5762:26849.878400179474;6421:26851.415277091037;2976:26963.97043790642;2977:26964.813356172835;5082:27320.071681643;5046:27325.55677605015;5130:27368.226295875796
0,0,default_vehtype,boarding,True,27368.226295875796,27398.226295875796,5130;-1;-1,5130;-1;-1,0.0,0.782511935834324,0.782511935834324,0.0,,0,3063;3055,2,3063;3055,,,
0,3,default_vehtype,route,False,27304.41451043196,27523.99248893022,6968;-1;-1,6422;-1;-1,3905.9740000000006,0.9617874229463305,0.9613968255463304,0.0,,0,1673,1,,,6968;6967;2974;2918;6420;2919;6422,6968:27304.41451043196;6967:27306.16344141188;2974:27374.146060416893;2918:27478.593903196877;6420:27485.969844743697;2919:27491.029554964578;6422:27523.99248893022
0,4,default_vehtype,route,False,26880.0,27533.234286195075,6857;2880;0.179,4189;-1;-1,13632.254199999932,0.9719753927447919,0.9706121673247919,0.0,,0,,0,,,6857;2880;2904;2842;2849;3012;6941;5907;6195;5168;3030;5166;5169;3047;3016;3018;3009;5575;4215;4158;4189,6857:26880;2880:26924.94244083303;2904:26928.99681795812;2842:26941.973412007363;2849:26952.969196625196;3012:26970.04845376351;6941:26971.302380829446;5907:26975.186199329404;6195:26980.38968596744;5168:26989.39633712468;3030:26991.02594521344;5166:26992.92790029576;5169:27003.880872438447;3047:27007.56833764166;3016:27078.66053421368;3018:27079.45046816919;3009:27121.850371601075;5575:27175.79717134716;4215:27435.48947864987;4158:27447.198869392836;4189:27533.234286195075
0,3,default_vehtype,boarding,True,27523.99248893022,27553.99248893022,6422;-1;-1,6422;-1;-1,0.0,0.9613968255463304,0.9613968255463304,0.0,,0,1673;1699,2,1699,,,
0,4,default_vehtype,boarding,True,27533.234286195075,27563.234286195075,4189;-1;-1,4189;-1;-1,0.0,0.9706121673247919,0.9706121673247919,0.0,,0,2059,1,2059,,,
0,10,default_vehtype,route,False,27180.0,27546.50969360221,2944;-1;-1,5712;-1;-1,6493.415,0.7644474598764522,0.7637981183764523,0.0,,0,,0,,,2944;2986;3046;2935;2936;2948;6065;7026;6064;5361;2933;6680;2987;2988;2989;2963;5685;5969;5968;6384;6386;5255;5253;6648;6646;6718;2991;2992;2993;5712,2944:27180;2986:27217.72097734942;3046:27221.61151287197;2935:27239.24902853052;2936:27247.696950021953;2948:27253.214353386305;6065:27270.040522382893;7026:27270.658196416538;6064:27316.035232028564;5361:27329.066560321335;2933:27352.655053521048;6680:27356.848526140948;2987:27358.094667425845;2988:27382.884507261206;2989:27396.01873462341;2963:27398.349566316323;5685:27399.156037773017;5969:27424.38476450888;5968:27424.945620360704;6384:27450.29939183529;6386:27454.55566644159;5255:27479.79541008869;5253:27482.81258975941;6648:27488.338877559414;6646:27493.854824804857;6718:27495.261773319868;2991:27527.545702156593;2992:27544.969198935403;2993:27545.776817349524;5712:27546.50969360221
