,request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
0,2479,BasicRequest,1,14460,14460,1498;-1;-1,2944;-1;-1,,,,,16757.994081580313,402462.234,0:,,,,,,,,0
1,2665,BasicRequest,1,16020,16020,11981;-1;-1,2944;-1;-1,,,,,10078.237142354585,228451.71,0:,,,,,,,,0
2,1953,BasicRequest,1,18060,18060,10164;-1;-1,2944;-1;-1,,,,,8874.737575343803,177740.57399999996,0:,,,,,,,,0
3,2933,BasicRequest,1,18420,18420,1623;-1;-1,2944;-1;-1,,,,,14000.764329727845,319696.5029999999,0:,,,,,,,,0
4,2019,BasicRequest,1,18900,18900,878;-1;-1,2944;-1;-1,,,,,13049.667022320671,314387.775,0:,,,,,,,,0
5,71,BasicRequest,1,19260,19260,11211;-1;-1,2944;-1;-1,,,,,8696.505017444597,196069.57400000005,0:,,,,,,,,0
6,2585,BasicRequest,1,23640,23640,10569;-1;-1,2944;-1;-1,,,,,7576.53839670998,165850.01300000004,0:,,,,,,,,0
7,2937,BasicRequest,1,23880,23880,5008;-1;-1,2944;-1;-1,,,,,7230.009608806482,148031.69799999995,0:,,,,,,,,0
8,2663,BasicRequest,1,24420,24420,12156;-1;-1,2944;-1;-1,,,,,8478.743551052281,198131.447,0:,,,,,,,,0
9,2935,BasicRequest,1,25080,25080,2147;-1;-1,2944;-1;-1,,,,,15598.9722174246,374267.7510000001,0:,,,,,,,,0
10,2307,BasicRequest,1,27540,27540,12797;-1;-1,2944;-1;-1,,,,,7407.744944527922,172291.84500000003,0:,,,,,,,,0
11,1539,BasicRequest,1,27120,27120,3031;-1;-1,2944;-1;-1,,,,,522.0376548749421,8583.308,0:t_wait:520.066718269718;t_drive:822.0376548749409;fare:858,,,0.0,25.0,27640.066718269714,28462.10437314466,858.0,0
12,1695,BasicRequest,1,27180,27180,6422;-1;-1,2944;-1;-1,,,,,513.3269872774167,8363.664999999999,0:t_wait:491.16076167535357;t_drive:813.3269872774181;fare:836,,,0.0,26.0,27671.16076167535,28484.487748952768,836.0,0
13,1727,BasicRequest,1,27180,27180,6422;-1;-1,2944;-1;-1,,,,,513.3269872774167,8363.664999999999,0:t_wait:491.16076167535357;t_drive:813.3269872774181;fare:836,,,0.0,26.0,27671.16076167535,28484.487748952768,836.0,0
14,1055,BasicRequest,1,26640,26640,10105;-1;-1,2944;-1;-1,,,,,777.7178126902754,11612.436000000002,0:t_wait:786.44280862089;t_drive:1077.7178126902763;fare:1161,,,0.0,21.0,27426.44280862089,28504.16062131116,1161.0,0
15,1175,BasicRequest,1,26880,26880,10077;-1;-1,2944;-1;-1,,,,,723.2542463094488,10942.675,0:t_wait:683.7305003670735;t_drive:1023.2542463094505;fare:1094,,,0.0,23.0,27563.73050036708,28586.98474667653,1094.0,0
16,1179,BasicRequest,1,26880,26880,10077;-1;-1,2944;-1;-1,,,,,723.2542463094488,10942.675,0:t_wait:683.7305003670735;t_drive:1023.2542463094505;fare:1094,,,0.0,23.0,27563.73050036708,28586.98474667653,1094.0,0
17,1341,BasicRequest,1,27300,27300,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:516.6024678743779;t_drive:815.5209331182377;fare:848,,,0.0,28.0,27816.602467874374,28632.123400992616,848.0,0
18,2781,BasicRequest,1,26520,26520,5910;-1;-1,2944;-1;-1,,,,,955.7713256717296,16839.322,0:t_wait:959.1693170402796;t_drive:1255.7713256717288;fare:1683,,,0.0,20.0,27479.16931704028,28734.940642712,1683.0,0
19,2065,BasicRequest,1,26820,26820,4189;-1;-1,2944;-1;-1,,,,,894.5725002914795,17251.868,0:t_wait:893.2342861950783;t_drive:1194.5725002914805;fare:1725,,,0.0,22.0,27713.234286195075,28907.806786486548,1725.0,0
20,267,BasicRequest,1,25980,25980,9863;-1;-1,2944;-1;-1,,,,,1389.5427388420187,23804.448,0:t_wait:1346.1349601689872;t_drive:1689.5427388420176;fare:2380,,,0.0,16.0,27326.13496016899,29015.67769901101,2380.0,0
21,273,BasicRequest,1,25980,25980,9863;-1;-1,2944;-1;-1,,,,,1389.5427388420187,23804.448,0:t_wait:1346.1349601689872;t_drive:1689.5427388420176;fare:2380,,,0.0,16.0,27326.13496016899,29015.67769901101,2380.0,0
22,1269,BasicRequest,1,26940,26940,10742;-1;-1,2944;-1;-1,,,,,769.3188525680392,13827.252,0:t_wait:729.9082138411395;t_drive:1069.318852568038;fare:1382,,,0.0,24.0,27669.908213841143,29039.227066409185,1382.0,0
23,1243,BasicRequest,1,27840,27840,10742;-1;-1,2944;-1;-1,,,,,769.3188525680392,13827.252,0:t_wait:129.90821384114315;t_drive:1069.318852568038;fare:1382,,,0.0,24.0,27969.908213841143,29039.227066409185,1382.0,0
24,941,BasicRequest,1,27660,27660,5938;-1;-1,2944;-1;-1,,,,,583.8938242470693,8823.329000000002,0:t_wait:560.0764905754077;t_drive:883.8938242470686;fare:882,,,0.0,30.0,28220.076490575408,29103.970314822476,882.0,0
25,319,BasicRequest,1,28380,28380,3023;-1;-1,2944;-1;-1,,,,,263.4813011863657,3825.049,0:t_wait:166.37167711572692;t_drive:563.4813011863662;fare:382,,,0.0,36.0,28546.371677115723,29109.85297830208,382.0,0
26,2491,BasicRequest,1,29160,29160,4570;-1;-1,2944;-1;-1,,,,,9366.796341513362,204411.785,0:,,,,,,,,0
27,1019,BasicRequest,1,28020,28020,2980;-1;-1,2944;-1;-1,,,,,444.3918710111103,7413.904,0:t_wait:450.3519598381572;t_drive:744.3918710111102;fare:741,,,0.0,34.0,28470.351959838157,29214.743830849256,741.0,0
28,479,BasicRequest,1,28080,28080,10047;-1;-1,2944;-1;-1,,,,,414.2583259144746,5629.360000000001,0:t_wait:402.16884554913486;t_drive:714.258325914474;fare:562,,,0.0,35.0,28482.16884554914,29196.42717146361,562.0,0
29,333,BasicRequest,1,28440,28440,10834;-1;-1,2944;-1;-1,,,,,280.65311960503607,4168.793,0:t_wait:239.6358507388286;t_drive:580.6531196050346;fare:416,,,0.0,37.0,28679.63585073883,29260.288970343856,416.0,0
30,2093,BasicRequest,1,26520,26520,7003;-1;-1,2944;-1;-1,,,,,1256.8505773708016,22773.596,0:t_wait:1222.3759755341525;t_drive:1556.850577370802;fare:2277,,,0.0,19.0,27742.375975534145,29299.226552904936,2277.0,0
31,81,BasicRequest,1,26040,26040,10756;-1;-1,2944;-1;-1,,,,,1595.7211047148517,32326.403,0:t_wait:1623.3866248942322;t_drive:1895.7211047148521;fare:3232,,,0.0,17.0,27663.386624894225,29559.107729609077,3232.0,0
